1_history_clock,2_history_ns,3_history_value,19_item_delay,20_item_name,21_item_type,22_item_value_type,23_item_dscr,24_item_flags,25_item_port,26_item_snmpcommunity,27_item_snmpoid,28_item_units
1539695648,522878727,100.0,60,ICMP loss,3,0,,0,,,,%
1539695708,230750949,100.0,60,ICMP loss,3,0,,0,,,,%
1539695767,934857540,100.0,60,ICMP loss,3,0,,0,,,,%
1539695827,618197347,100.0,60,ICMP loss,3,0,,0,,,,%
1539695889,685928208,100.0,60,ICMP loss,3,0,,0,,,,%
1539695954,265487292,100.0,60,ICMP loss,3,0,,0,,,,%
1539696007,233695592,100.0,60,ICMP loss,3,0,,0,,,,%
1539696071,511317404,100.0,60,ICMP loss,3,0,,0,,,,%
1539696130,10758378,100.0,60,ICMP loss,3,0,,0,,,,%
1539696190,999067503,100.0,60,ICMP loss,3,0,,0,,,,%
1539696248,819762912,100.0,60,ICMP loss,3,0,,0,,,,%
1539696310,633006586,100.0,60,ICMP loss,3,0,,0,,,,%
1539696368,458231965,100.0,60,ICMP loss,3,0,,0,,,,%
1539696428,605863607,100.0,60,ICMP loss,3,0,,0,,,,%
1539696487,758915189,100.0,60,ICMP loss,3,0,,0,,,,%
1539696548,436941838,100.0,60,ICMP loss,3,0,,0,,,,%
1539696608,110259629,100.0,60,ICMP loss,3,0,,0,,,,%
1539696667,782586535,100.0,60,ICMP loss,3,0,,0,,,,%
1539696728,456842051,100.0,60,ICMP loss,3,0,,0,,,,%
1539696788,131633503,100.0,60,ICMP loss,3,0,,0,,,,%
1539696847,806990506,100.0,60,ICMP loss,3,0,,0,,,,%
1539696907,957539988,0.0,60,ICMP loss,3,0,,0,,,,%
1539696967,593718686,100.0,60,ICMP loss,3,0,,0,,,,%
1539697027,742845863,0.0,60,ICMP loss,3,0,,0,,,,%
1539697087,873610535,0.0,60,ICMP loss,3,0,,0,,,,%
1539697148,6800946,0.0,60,ICMP loss,3,0,,0,,,,%
1539697207,137973497,0.0,60,ICMP loss,3,0,,0,,,,%
1539697267,259789897,0.0,60,ICMP loss,3,0,,0,,,,%
1539697327,392770020,0.0,60,ICMP loss,3,0,,0,,,,%
1539697387,523090633,0.0,60,ICMP loss,3,0,,0,,,,%
1539697447,665996077,0.0,60,ICMP loss,3,0,,0,,,,%
1539697507,812082897,0.0,60,ICMP loss,3,0,,0,,,,%
1539697567,92220386,0.0,60,ICMP loss,3,0,,0,,,,%
1539697627,996243141,0.0,60,ICMP loss,3,0,,0,,,,%
1539697687,245449785,0.0,60,ICMP loss,3,0,,0,,,,%
1539697747,381161044,0.0,60,ICMP loss,3,0,,0,,,,%
1539697807,237268148,0.0,60,ICMP loss,3,0,,0,,,,%
1539697867,361770407,0.0,60,ICMP loss,3,0,,0,,,,%
1539697927,136786617,0.0,60,ICMP loss,3,0,,0,,,,%
1539697987,266940426,0.0,60,ICMP loss,3,0,,0,,,,%
1539698047,400533078,0.0,60,ICMP loss,3,0,,0,,,,%
1539698107,333698341,0.0,60,ICMP loss,3,0,,0,,,,%
1539698167,523392491,0.0,60,ICMP loss,3,0,,0,,,,%
1539698227,754778258,0.0,60,ICMP loss,3,0,,0,,,,%
1539698287,898601631,0.0,60,ICMP loss,3,0,,0,,,,%
1539698347,15333117,0.0,60,ICMP loss,3,0,,0,,,,%
1539698407,163777430,0.0,60,ICMP loss,3,0,,0,,,,%
1539698467,307860442,0.0,60,ICMP loss,3,0,,0,,,,%
1539698527,414010837,0.0,60,ICMP loss,3,0,,0,,,,%
1539698587,521251060,0.0,60,ICMP loss,3,0,,0,,,,%
1539698647,729156770,0.0,60,ICMP loss,3,0,,0,,,,%
1539698707,580873374,0.0,60,ICMP loss,3,0,,0,,,,%
1539698767,250887685,0.0,60,ICMP loss,3,0,,0,,,,%
1539698827,488865385,0.0,60,ICMP loss,3,0,,0,,,,%
1539698887,994039598,0.0,60,ICMP loss,3,0,,0,,,,%
1539698947,540363723,0.0,60,ICMP loss,3,0,,0,,,,%
1539699007,666092601,0.0,60,ICMP loss,3,0,,0,,,,%
1539699067,764720141,0.0,60,ICMP loss,3,0,,0,,,,%
1539699127,521524624,0.0,60,ICMP loss,3,0,,0,,,,%
1539699187,619148316,0.0,60,ICMP loss,3,0,,0,,,,%
1539699247,720830598,0.0,60,ICMP loss,3,0,,0,,,,%
1539699307,200463809,0.0,60,ICMP loss,3,0,,0,,,,%
1539699368,437993502,100.0,60,ICMP loss,3,0,,0,,,,%
1539699427,587767561,0.0,60,ICMP loss,3,0,,0,,,,%
1539699487,935403299,0.0,60,ICMP loss,3,0,,0,,,,%
1539699547,72028391,0.0,60,ICMP loss,3,0,,0,,,,%
1539699607,234937659,0.0,60,ICMP loss,3,0,,0,,,,%
1539699667,368344914,0.0,60,ICMP loss,3,0,,0,,,,%
1539699727,727503218,0.0,60,ICMP loss,3,0,,0,,,,%
1539699787,858654202,0.0,60,ICMP loss,3,0,,0,,,,%
1539699847,586392327,0.0,60,ICMP loss,3,0,,0,,,,%
1539699907,467528615,0.0,60,ICMP loss,3,0,,0,,,,%
1539699967,434471704,0.0,60,ICMP loss,3,0,,0,,,,%
1539700027,536078251,0.0,60,ICMP loss,3,0,,0,,,,%
1539700087,149958726,0.0,60,ICMP loss,3,0,,0,,,,%
1539700147,385129664,0.0,60,ICMP loss,3,0,,0,,,,%
1539700207,670770076,0.0,60,ICMP loss,3,0,,0,,,,%
1539700267,771772541,0.0,60,ICMP loss,3,0,,0,,,,%
1539700327,782067148,0.0,60,ICMP loss,3,0,,0,,,,%
1539700387,922841730,0.0,60,ICMP loss,3,0,,0,,,,%
1539700447,54101341,0.0,60,ICMP loss,3,0,,0,,,,%
1539700507,103895683,100.0,60,ICMP loss,3,0,,0,,,,%
1539700567,722488265,0.0,60,ICMP loss,3,0,,0,,,,%
1539700627,117969886,0.0,60,ICMP loss,3,0,,0,,,,%
1539700687,581611499,0.0,60,ICMP loss,3,0,,0,,,,%
1539700747,685781944,0.0,60,ICMP loss,3,0,,0,,,,%
1539700807,789280458,0.0,60,ICMP loss,3,0,,0,,,,%
1539700867,637616019,0.0,60,ICMP loss,3,0,,0,,,,%
1539700927,921897674,0.0,60,ICMP loss,3,0,,0,,,,%
1539700987,626744268,0.0,60,ICMP loss,3,0,,0,,,,%
1539701047,646704201,0.0,60,ICMP loss,3,0,,0,,,,%
1539701107,582898767,0.0,60,ICMP loss,3,0,,0,,,,%
1539701167,828102684,0.0,60,ICMP loss,3,0,,0,,,,%
1539701227,822348052,0.0,60,ICMP loss,3,0,,0,,,,%
1539701287,436367125,0.0,60,ICMP loss,3,0,,0,,,,%
1539701347,660414567,100.0,60,ICMP loss,3,0,,0,,,,%
1539701407,809029589,0.0,60,ICMP loss,3,0,,0,,,,%
1539701467,438074074,0.0,60,ICMP loss,3,0,,0,,,,%
1539701527,509456214,0.0,60,ICMP loss,3,0,,0,,,,%
1539701587,281228850,0.0,60,ICMP loss,3,0,,0,,,,%
1539701647,384715583,0.0,60,ICMP loss,3,0,,0,,,,%
1539701707,76466922,0.0,60,ICMP loss,3,0,,0,,,,%
1539701767,144521225,0.0,60,ICMP loss,3,0,,0,,,,%
1539701827,98780134,0.0,60,ICMP loss,3,0,,0,,,,%
1539701887,865542122,0.0,60,ICMP loss,3,0,,0,,,,%
1539701947,771044006,0.0,60,ICMP loss,3,0,,0,,,,%
1539702007,501868566,0.0,60,ICMP loss,3,0,,0,,,,%
1539702067,382770068,0.0,60,ICMP loss,3,0,,0,,,,%
1539702127,991689008,0.0,60,ICMP loss,3,0,,0,,,,%
1539702187,590656229,0.0,60,ICMP loss,3,0,,0,,,,%
1539702247,692042967,0.0,60,ICMP loss,3,0,,0,,,,%
1539702307,479904569,0.0,60,ICMP loss,3,0,,0,,,,%
1539702367,423723466,0.0,60,ICMP loss,3,0,,0,,,,%
1539702427,529184390,0.0,60,ICMP loss,3,0,,0,,,,%
1539702487,978974365,0.0,60,ICMP loss,3,0,,0,,,,%
1539702548,126708056,100.0,60,ICMP loss,3,0,,0,,,,%
1539702607,797520715,66.6667,60,ICMP loss,3,0,,0,,,,%
1539702667,946958206,0.0,60,ICMP loss,3,0,,0,,,,%
1539702727,179004899,0.0,60,ICMP loss,3,0,,0,,,,%
1539702787,285168914,0.0,60,ICMP loss,3,0,,0,,,,%
1539702847,330649881,0.0,60,ICMP loss,3,0,,0,,,,%
1539702907,950862530,0.0,60,ICMP loss,3,0,,0,,,,%
1539702967,79263794,0.0,60,ICMP loss,3,0,,0,,,,%
1539703027,216584978,0.0,60,ICMP loss,3,0,,0,,,,%
1539703087,354302188,0.0,60,ICMP loss,3,0,,0,,,,%
1539703147,488065170,0.0,60,ICMP loss,3,0,,0,,,,%
1539703207,620120990,0.0,60,ICMP loss,3,0,,0,,,,%
1539703267,735972878,0.0,60,ICMP loss,3,0,,0,,,,%
1539703327,867432819,0.0,60,ICMP loss,3,0,,0,,,,%
1539703388,1996747,0.0,60,ICMP loss,3,0,,0,,,,%
1539703447,131041346,0.0,60,ICMP loss,3,0,,0,,,,%
1539703507,266132628,0.0,60,ICMP loss,3,0,,0,,,,%
1539703567,414940951,0.0,60,ICMP loss,3,0,,0,,,,%
1539703627,553540059,0.0,60,ICMP loss,3,0,,0,,,,%
1539703687,653879503,0.0,60,ICMP loss,3,0,,0,,,,%
1539703747,746595759,0.0,60,ICMP loss,3,0,,0,,,,%
1539703807,844528449,0.0,60,ICMP loss,3,0,,0,,,,%
1539703867,229353299,0.0,60,ICMP loss,3,0,,0,,,,%
1539703927,930254730,0.0,60,ICMP loss,3,0,,0,,,,%
1539703987,27083895,0.0,60,ICMP loss,3,0,,0,,,,%
1539704047,139842340,0.0,60,ICMP loss,3,0,,0,,,,%
1539704107,236785726,0.0,60,ICMP loss,3,0,,0,,,,%
1539704167,351247883,0.0,60,ICMP loss,3,0,,0,,,,%
1539704227,54818566,0.0,60,ICMP loss,3,0,,0,,,,%
1539704287,535806524,0.0,60,ICMP loss,3,0,,0,,,,%
1539704347,550260913,0.0,60,ICMP loss,3,0,,0,,,,%
1539704407,510907838,0.0,60,ICMP loss,3,0,,0,,,,%
1539704467,609736829,0.0,60,ICMP loss,3,0,,0,,,,%
1539704527,710211987,0.0,60,ICMP loss,3,0,,0,,,,%
1539704587,822919686,0.0,60,ICMP loss,3,0,,0,,,,%
1539704647,955201797,0.0,60,ICMP loss,3,0,,0,,,,%
1539704707,617818142,33.3333,60,ICMP loss,3,0,,0,,,,%
1539704767,786485984,0.0,60,ICMP loss,3,0,,0,,,,%
1539704827,922603855,0.0,60,ICMP loss,3,0,,0,,,,%
1539704887,533406276,0.0,60,ICMP loss,3,0,,0,,,,%
1539704947,280315995,0.0,60,ICMP loss,3,0,,0,,,,%
1539705007,63996569,0.0,60,ICMP loss,3,0,,0,,,,%
1539705067,532173640,0.0,60,ICMP loss,3,0,,0,,,,%
1539705127,94767775,0.0,60,ICMP loss,3,0,,0,,,,%
1539705187,688140450,0.0,60,ICMP loss,3,0,,0,,,,%
1539705247,474011269,0.0,60,ICMP loss,3,0,,0,,,,%
1539705307,577834727,0.0,60,ICMP loss,3,0,,0,,,,%
1539705367,514109444,0.0,60,ICMP loss,3,0,,0,,,,%
1539705427,367124531,0.0,60,ICMP loss,3,0,,0,,,,%
1539705487,524716898,0.0,60,ICMP loss,3,0,,0,,,,%
1539705547,659020057,0.0,60,ICMP loss,3,0,,0,,,,%
1539705607,801013429,0.0,60,ICMP loss,3,0,,0,,,,%
1539705667,958288868,0.0,60,ICMP loss,3,0,,0,,,,%
1539705727,716838530,0.0,60,ICMP loss,3,0,,0,,,,%
